0.0 0.513 0.35679999999999995 0.127 0.025035974117257772 0.015263027222671127 0.01223110788113652
0.013 0.4162 0.38259999999999994 0.19980000000000003 0.017769637024992943 0.011271202242884306 0.006615134163416527
0.027 0.44299999999999995 0.3392 0.211 0.023117093242879822 0.0199138143006306 0.007563068160475645
0.059 0.34340000000000004 0.2988 0.35520000000000007 0.015107613974416996 0.02440819534500656 0.023472537144501475
0.092 0.2764 0.2846 0.42119999999999996 0.014974645237867899 0.02535034516530298 0.014048487463068735
0.14 0.2572 0.18580000000000002 0.568 0.01579113675452152 0.006615134163416496 0.018611824198610988
0.23 0.17140000000000002 0.15180000000000002 0.6786 0.012092973166264778 0.012253978945632307 0.023946607275353245
0.32 0.1036 0.1016 0.8022 0.008284926070883193 0.006151422599691879 0.006112282715974456
0.56 0.07540000000000001 0.07 0.8502000000000001 0.0085463442476886 0.004195235392680603 0.005344155686354937
0.71 0.060399999999999995 0.05620000000000001 0.884 0.004630334761116093 0.004578209256903838 0.009143303560529911
1.0 0.0528 0.0518 0.9001999999999999 0.008657944328765346 0.009239047569960877 0.0035440090293338733
